Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,total_abusive_word,text_abusive_word
huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pertama kali di tarutung nah sekarang anda saya k,0,0,0,0,0,0,0,0,0,0,0,0,0,
apa ha banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak,0,0,0,0,0,0,0,0,0,0,0,0,0,
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0,0,
pengguna dan yang takut dengan azan adalah iblis,0,0,0,0,0,0,0,0,0,0,0,0,1,iblis
pengguna yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0,4,goblok bong cebong bani
pengguna user wah cebong sewot,1,1,1,0,0,0,0,0,1,1,0,0,2,bong cebong
2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0,0,
padahal gubernur saat ini djarot mayoritas partai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,1,tai
rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0,1,rezim
saat orang orang saling menuding antek asing aseng sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0,2,antek asing
nah lah katanya anti asing,0,0,0,0,0,0,0,0,0,0,0,0,1,asing
selamat pak semoga bisa terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0,0,
asyik menang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0,0,
yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,0,0,0,0,0,0,0,0,0,0,0,0,1,asing
anak pecun tidak jauh jauh dari hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0,1,pecun
aku bom surat berharga syariat negara,0,0,0,0,0,0,0,0,0,0,0,0,0,
istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003,0,0,0,0,0,0,0,0,0,0,0,0,0,
pada 1979 house select committee on assassination hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya,0,0,0,0,0,0,0,0,0,0,0,0,1,cacat
tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin,0,0,0,0,0,0,0,0,0,0,0,0,0,
ian pantat,0,1,0,0,0,0,0,0,0,0,0,0,1,pantat
pengguna mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang bodoh orang yang maaf sejak lahir idiot sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik,0,1,0,0,0,0,0,0,0,0,0,0,4,bodoh iblis idiot nista
pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0,1,tai
sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0,5,tolol bong cebong komunis rezim
dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lo dan gue merasa jadi anak yang berengsek saja begitu ke laki laki,0,1,0,0,0,0,0,0,0,0,0,0,1,berengsek
cina perusak bangsa usir setuju,1,0,0,1,0,1,0,0,0,0,0,1,0,
2019 ganti presiden secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0,0,
mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai coki adem86 98heru,0,0,0,0,0,0,0,0,0,0,0,0,0,
mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0,0,
kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0,0,
cowok yang jago drasex mana sini ngentot sama adik luvian,0,1,0,0,0,0,0,0,0,0,0,0,1,ngentot
kroasia itu kafir tau apa belajar sama kafir sudah lupa sama kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0,1,kafir
pengguna lah bukan nya menteri soeharto ada yang homo,1,1,1,0,0,0,0,1,0,1,0,0,1,homo
gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk,0,0,0,0,0,0,0,0,0,0,0,0,1,culun
pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0,1,babi
kejar setoran memang cukup bangsat mana rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0,1,bangsat
semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jakarta pusat pada selasa 10 4 pukul 13 00 waktu indonesia bagian barat perhaps pengguna,1,0,1,0,1,0,0,0,0,1,0,0,1,nista
pengguna user pengguna user bangkai hajar,1,1,1,0,0,0,0,0,1,0,0,1,1,bangkai
pengguna onta mati kalau kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0,1,onta
uniform resource locator ahok tng mereka terus was was hidupnya pengguna user pengguna,1,0,1,0,0,0,0,0,1,1,0,0,0,
itu baru di sul teng ini ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0,0,
6 pride yunani hyper phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0,0,0,0,4,buta tai terkutuk bong
aku bertanya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku bertanya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan asing di mata manusia tak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0,1,asing
tak hanya kurang bertaji nya komisi pemberantasan korupsi era ini tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0,0,
pengguna admin tolol di partai tolol partai tolol untuk orang tolol,1,1,0,1,0,0,0,0,1,0,1,0,2,tai tolol
pengguna ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,1,kampungan
video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di,0,0,0,0,0,0,0,0,0,0,0,0,2,alay asing
ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0,0,
random pagi pagi ada bapak bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna kok gue kampret,0,1,0,0,0,0,0,0,0,0,0,0,1,kampret
memek lonte ingin disodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0,3,kontol memek lonte
jokowi saja yang mundur tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,0,
berbicara apa itu mulut kok seperti banci beli kaca dulu lihat dirimu bro,1,1,1,0,0,0,0,1,0,1,0,0,1,banci
ada amin racist ada amat dani ada ratna sih paiiit ada sih onta ada sih lobang anus jadi jangan takut oi wo kehabisan obat penenang ya,1,1,1,0,0,0,0,0,1,1,0,0,1,onta
tunggu komando imam bejat cabul tai bir apa apa bawa ulama dasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0,2,bejat tai
kabinet berantakan pemecah belah persatuan hanya ada di rezim ini,1,0,0,1,0,0,0,0,1,0,1,0,1,rezim
ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja k k orang bego wkwk,1,1,1,0,0,0,1,0,0,1,0,0,1,bego
partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar bajingan,1,1,0,1,0,0,0,0,1,0,1,0,3,bajingan tai antek
pengguna tidak percaya sama mulut buaya mu bawang,1,1,1,0,0,0,0,0,1,1,0,0,1,buaya
2019 jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai sudah jika 3 poros di pemilihan presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0,1,tai
pengguna jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0,1,banci
bebal,0,0,0,0,0,0,0,0,0,0,0,0,0,
5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat komunis karena dapat menghambat agenda dan kepentingan mereka obviously,0,0,0,0,0,0,0,0,0,0,0,0,1,komunis
pengguna umuh persib persib kunyuk,1,1,0,1,0,0,0,0,1,0,1,0,1,kunyuk
pengguna buat film muslim pilih ahok mati enggak di disalatkan dijamin laris,1,0,1,0,0,0,0,0,1,1,0,0,0,
tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0,1,edan
eh kenapa muka merah merah itu tak dapat cendol ke bukan lah setan cuaca sekarang nih panas,0,1,0,0,0,0,0,0,0,0,0,0,1,setan
pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0,2,bong cebong
giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0,0,
sayang banget ya melihat perempuan kayak begini tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting kampungan viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,1,kampungan
jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0,0,0,0,0,
pengguna user kan saya bukan cebong sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0,2,bong cebong
kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon surat pemberitahuan tahunan durno,1,1,1,0,0,0,0,0,1,1,0,0,1,congor
selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini,0,0,0,0,0,0,0,0,0,0,0,0,0,
